יישוב_נקי,lat,lon
גני יוחנן,31.857700045996,34.8370833334332
גינתון,31.9632730962419,34.9137746940875
בקוע,31.8292697254558,34.9250934226688
שיבולים,31.3963750074035,34.6076231257121
יטבתה,29.8949947693795,35.063076550323
אלוני יצחק,32.5104424379227,35.0037176009896
גבעת השלושה,32.0981319797829,34.9215927328229
עינת,32.0828620570197,34.9390647469673
גאולי תימן,32.3923142565263,34.9016282377641
שלווה,31.5644385631114,34.7676446527205
כפר עבודה,32.2579548704324,34.9412815795699
בית חירות,32.3764585328346,34.8713371859455
עין שריד,32.2737306973477,34.9359462816889
רמת פנקס,32.0348897807862,34.8415017937438
שדה בוקר,30.8714420447307,34.7937047242101
איתנים,31.7783201094464,35.0956872520313
"כפר הרי""ף",31.7495732541744,34.7920805113639
כפר חסידים ב',32.7526167806331,35.0872601997513
כפר הנוער הדתי,32.7427514242739,35.0991898579627
עבדון,33.0494097371008,35.1823834809677
שבלי - אום אל-גנם,32.6861978348932,35.3985850360693
ישע,31.2475865136921,34.4022432556255
שגב,32.865893117255,35.2527247201265
גבעת ישעיהו,31.6704086645067,34.9477178638369
שער מנשה,32.4508538401193,35.0167562474858
רכסים,32.7519866128193,35.1017087314518
ביאדה,32.5573936871891,35.1660054452832
סואעד (חמרייה),32.7673159186053,35.1677075318226
בסמת טבעון,32.7407321420667,35.1474160360823
זרזיר,32.7253034905377,35.2231358786562
כעביה-טבאש-חג'אג'רה,32.7472032730826,35.1913295266662
חמאם,32.8298407087253,35.4898718916306
מנשית זבדה,32.7055098147342,35.1927629965794
רומת הייב,32.7793573544762,35.3029672402387
ביר אל-מכסור,32.7834478542778,35.222893101445
מבשרת ציון,31.8001699246383,35.150529475619
אור עקיבא,32.5094867006543,34.9200534256654
חרוצים,32.2273686952822,34.8648766054018
שדרות,31.5259030322262,34.5977458834956
קריית מלאכי,31.7325169829981,34.7463103184028
יעף,32.2675005753991,34.9646784101637
שתולה,33.0856943895518,35.3141602591365
אוהד,31.2369780098232,34.4320395710553
חזון,32.9059742975757,35.3951494076624
רמת אפעל,32.0469715591844,34.8349613302926
בית חשמונאי,31.889182753302,34.9171890055805
תלמי אליהו,31.2282932992525,34.4293480065389
קטורה,29.9695322648025,35.0613300114599
תל שבע,31.248049262195,34.8601763883537
נווה זוהר,31.152499254303,35.3643690939098
שדה ניצן,31.2300521601144,34.4195114459896
כסיפה,31.2447193170557,35.08004481141
לקיה,31.3238443713039,34.8647645011837
נצרת עילית,32.7145037190575,35.3227270063546
נווה אפרים,32.0252752931594,34.8739947623231
מעלות-תרשיחא,33.0178315832258,35.2821241834425
אמירים,32.9381185987987,35.4494195831306
"בני עי""ש",31.7891233254057,34.7602245134038
"דוב""ב",33.0538535167836,35.4094908399496
אדמית,33.0857724489591,35.2199927434519
רם-און,32.5279290873165,35.2595499374703
אביעזר,31.6814500376867,35.0155712113222
נווה מיכאל,31.6730758855532,35.0057560937076
גן הדרום,31.8041138279133,34.7008926892783
בית ברל,32.2013540959889,34.926600786158
צפרירים,31.6604207200454,34.9431936010793
מבועים,31.4492116410543,34.6540589963388
אבן מנחם,33.0744634911106,35.2937211645333
מעגלים,31.3967490138292,34.5986877295265
תושייה,31.4337279358525,34.5407015233831
בן שמן (כפר נוער),31.9597747040147,34.9277705533558
כרם שלום,31.2278180705192,34.2844932172943
כרם יבנה (ישיבה),31.819440600109,34.7216312951809
דבורייה,32.6894856671167,35.3718112206433
דיר אל-אסד,32.9374797537819,35.2659860807972
דייר חנא,32.8628133364707,35.3678610709024
דייר ראפאת,31.7762795855921,34.9472591177483
עיר כרמל,32.6933310827704,35.0528546112006
חורפיש,33.0165669233255,35.3446851904279
טייבה (בעמק),32.6037816504705,35.4448401972594
טורעאן,32.7772441751451,35.3751176211404
יפיע,32.6841793556134,35.2756894124789
ירכא,32.9543978362127,35.2021676893324
כאבול,32.8721902811792,35.2072158104319
כאוכב אבו אל-היג'א,32.8305839285158,35.2483580671165
כפר כמא,32.7215359670496,35.4399940405787
כפר כנא,32.7473925946292,35.341721886388
כפר מנדא,32.8084315403218,35.2634966611836
עילוט,32.7181678954939,35.2618966215657
כפר מצר,32.6455282700181,35.4227736286348
עין ראפה,31.7903354584138,35.1136510750515
שגור,32.9206610062916,35.2547696095697
מזרעה,32.984377354652,35.0986009705819
מעיליא,33.0270603054927,35.2572363987287
משהד,32.7411552397988,35.3219874917594
נחף,32.9348316882925,35.3185555739738
ניין,32.6308413706018,35.3490282054711
נאעורה,32.6108382102629,35.3926587609917
סאג'ור,32.9412307037033,35.3446654467348
סולם,32.6066328769101,35.3346874044988
שזור,32.9324512252876,35.35240580667
עוזייר,32.7901663223751,35.3246279491559
אעבלין,32.8266691959109,35.1856652063498
